marca,modelo,año,estado,kilometraje,motor,placa,cv,peso_kg,transmisión,precio_cop
Chevrolet,Equinox,2015,vendio,85000,1.6,FTX852,158,2100,manual,55000000
Hyundai,Accent,2017,taller,20000,1.5,FFB957,130,1280,automatica,67000000
Ford,Mustang,2019,disponible,78000,2.0,VQP 306,130,1795,manual,69000000
Chevrolet,Silverado,2022,taller,10000,1.6,DEV414,170,1100,manual,36000000
Kia,Picanto,2019,taller,22000,1.8,930365,280,1280,manual,80000000
Kia,Sportage,2O18,taller,20000,1.3,YFU855,84,1350,automatica,36000000
Nissan,Sentra,2022,vendido,65000,1.6,JEP135,150,2060,manul,49000000
Ford,F-150,2022,vendido,22000,2.0,QIK616,191,2000,manual,74 millones
Volkswagen,Golf,2017,disponible,20000,1.8,OKX746,185,1700,manual,28.000.000
Toyota,RAV4,2019,vendido,12.000,1.0,VED675,231,1700,manual,52000000
Chevrolet,Tracker,2021,taller,85000,2.0,JQN724,203,1100,manual,$ 34.000.000
Nissan,Sentra,2017,disponible,20000,1.3,NOJ205,125,2100,AUTOMATICA,74000000
Kia,Sorento,2015,vendido,100000,1.8,SQL103,106,1300,manual,31000000
Hyundai,Accent,2017,disponible,85000,1.0,NCC776,400,1350,automatica,
Volkswagen,Touareg,2016,taller,100000,1.8,KDL541,177,1500,automatica,53.000.000
Chevrolet,Silverado,2019,taller,70000,1.0,HUX147,69,1350,manual,34000000
Kia,Rio,2021,vendido,90 000,1.0,VKJ935,192,950,manual,73000000
Hyundaii,Santa Fe,2017,DISPONIBLE,28000 km,2.0,ZPR193,309,1280,automatica,33 millones
Volkswagen,Touareg,2021,DISPONIBLE,12000,1.6,ILP776,280,1700,automatica,82000000
Honda,Accord,2016,disponible,78000,1.0,MQR974,140,1100,automatica,50000000
Nissan,X-Trail,2021,disponible,95000,1.8,NCV287,400,1900,manual,75000000
Ford,Fiesta,2021,disponible,35000,1.6,XUG483,290,1050,manual,64000000
Kiaa,Rio,2016,disponible,90000,1.5,ZFQ139,155,1100,automatica,59000000
Kia,Rio,2016,taller,32000 km,2.0,AU-436,158,1300,MANUAL,51000000
Nissan,Versa,dos mil veintidos,disponible,48000,2.0,AZP874,365,1.250,automatica,36000000
Chevrolet,Silverado,2019,disponible,32000,1.5,CUH 175,212,1280,manual,77000000 
CHEVROLET,Tracker,2015,taller,52000,1.6,KSY174,99,1400,manuall,60000000
Ford,Explorer,2020,disponible,12000,1.8,XEW680,400,1250,automatica,74000000
Kia,Sorento,2017,disponible,60000,1.3,651422,125,2000,manual,54000000
Volkswagen,Jetta,2016,taller,70000,"1,5",XGA488,123,1.350,manual,47000000
Hyundai,Santa Fe,2019,vendido,5000,1.3,UID 549,309,1100,automatica,76000000
KIA,Sorento,2021,vendido,80 000,1.8,OPL417,400,950,automatica,31000000
Kia,Sportage,2020,vendido,78000,2.0,IQB740,107,1500,automatica,62000000
Hyundai,Accent,2019,vendido,8000,2.0,IKW594,152,1050,manual,58000000
Ford,Explorer,2015,taller,42000,1.8,ISM778,152,1.795,manual,77000000
Hyundai,Elantra,2015,taller,18000,1.0,UWD533,355,2060,manual,25000000
Chevrolet,Cruze,2020,vendido,28000,1.0,YTF326,141,1500,automatica,56000000
Volkswagen,Golf,2016,vendido,52000,1.5,WLX141,140,1500,automatica,65000000
Nissan,Frontier,2019,taller,42 000,"2,0",VSD317,141,950,manual,85000000
Honda,Civic,2020,vendido,38000,2.0,UBP760,145,1050,automatica,72000000
HYUNDAI,Elantra,2020.,disponible,35000,2.0,DKZ696,69,1050,MANUAL,84000000
Honda,Civic,2016,taller,55000,1.8,746885,152,1700,automatica,79000000
Hyundai,Creta,202O,taller,65000,1.0,NQH122,123,1.900,auto,88000000
Honda,Accord,2021,vendido,10.000,1.5,MLG582,doscientos tres,1400,manual,58000000
Chevrolet,Equinox,2022,taller,40 000,"1,5",ZNT684,193,1700,automatica,37000000
Honda,HR-V,2018,taller,65000,2.0,EDO388,90,1900,automatica,34000000
Ford,EcoSport,2018,disponible,40000,1.5,NYC877,125,1800,manual,58000000
Chevrolet,Spark,2016,disponible,15000,1.8,IMF007,ciento seis,1.250,manual,
Honda,Pilot,2016,disponible,75000,1.5,PHT348,185,1280,automatica,66000000
HYUNDAI,Elantra,2015,vendido,52000,2.0,CQT141,170,2060,automatica,36000000
Ford,EcoSport,2016,taller,95000,1.60,YKQ367,120,950,manual,59000000
Hyundai,Creta,2017,disponible,85000,1.0,SEA969,145,1800,automatica,88000000
Hyundai,Palisade,2015,taller,28000,2.0,YKU051,123,1300,manul,78000000
Honda,Pilot,2020,vendido,72000,2.0,GAX384,114,1280,MANUAL,90000000
Toyota,Camry,2017,disponible,8.000,1.0,ZUW502,290,1300,automatica,35000000
Hyundai,Palisade,2018,taller,30000,2.0,OIP728,90,1.450,manual,64000000
Ford,F-150,2021,vendido,5000,1.8,GNN857,155,1500,manual,46000000
Honda,Accord,2018,disponible,42000,1.5,FLN352,185,1700,automatica,88000000
Hyundai,Elantra,2016,disponible,60000,2.0,FYI373,365,1200,automatica,60000000
Kia,Sportage,2020,disponible,22000,1.8,QLI247,99,1.450,automatica,64000000
Ford,Fiesta,2016,vendido,35000,1.0,CTO619,120,1195,automatica,52 millones
TOYOTA,RAV4,2015,disponible,35000,1.5,OBW842,212,1.500,automatica,87000000
Nissan,Frontier,2021,taller,25000,1.6,DQT367,355,1900,manual,38000000
Ford,Fiesta,2020,vendido,38000,1.8,GAM331,122,1500,manual,78000000
Volkswagen,Jetta,2016,taller,20000,1.8,NLJ056,152,1100,automatica,46000000
Volkswagen,Jetta,2022,vendido,78000,1.5,JIX433,355,1300,manual,$ 64.000.000
Nissan,X-Trail,2015,vendido,72000,2.0,GWI341,90,2100,manuall,39000000
Volkswagen,Golf,2017,vendido,65000,1.6,ZIG229,365,1700,automatica,37000000
Toyota,Hilux,2020,vendido,52000,1.6,JNQ418,212,1.300,manual,49000000
Volkswagen,Touareg,2016,vendido,95000,2.0,PSU691,ciento cincuenta y ocho,2200,automatica,68000000
Honda,Civic,2016,vendido,60000,1.8,RRB179,191,1900,automatica,29000000
Chevrolet,Silverado,2021,vendido,72000,2.0,GZU428,158,2200,automatica,30000000
Toyota,Corolla,2019,disponible,12000,1.8,NASWXA,ciento setenta y siete,2100,manual,65000000
Kia,Cerato,2017,vendido,8000,1.8,EWE948,192,1900,automatica,33000000
Ford,Fiesta,2019,taller,30000,1.5,WUC146,280,1195,automatica,64000000
Hyundai,Tucson,2019,Disponible,22000,1.8,CUN893,128,1500,automatica,49000000
Kia,Sorento,2019,disponible,48000,1.6,YGR192,212,1.280,AUTOMATICA,56000000
KIA,Cerato,2022,vendido,10000 km,2.0,OZR415,191,1500,manual,72000000
Toyota,Land Cruiser,2019,disponible,100000,1.6,VFF818,400,1400,automatica,57000000 
Toyota,Fortuner,2022,vendio,5000,1.3,HIR194,90,1100,manual,72000000
Honda,Accord,2018,taller,72000,2.0,DWY401,185,1900,manual,90000000
Nissan,Sentra,2016,disponible,75000,1.5,LXI039,170,1900,manual,69000000
Hyundaii,Santa Fe,2022,taller,5000,1.3,ITP090,193,2200,auto,49000000
Nissann,X-Trail,2018,taller,55000,1.3,GKG748,191,1600,automatica,32000000
Honda,Pilot,2022,disponible,10000,"1,5",FGU774,193,1300,automatica,39000000
Honda,HR-V,2021,disponible,58000,1.5,EBP883,290,2200,automatica,86000000
Kia,Cerato,2022,disponible,100000,1.8,UDK523,75,1250,manual,89000000
Kiaa,Picanto,2018,taller,25000,1.6,UMQ888,186,2000,automatica,84000000
Volkswagen,Polo,2016,disponible,80000,1.O,ZDO417,180,1800,manual,
Toyota,Hilux,2021,Disponible,45000,"2,0",FXK313,213,1500,automatica,42000000
Volkswagen,Jetta,2018,disponible,22000,1.8,QTN013,ciento cincuenta y dos,1195,manual,66000000
Volkswagen,Tiguan,2021,disponible,32000,1.0,FPD189,84,1070,automatica,76000000
Volkswagen,Golf,2016,vendido,30000,1.5,OUE846,ciento setenta y siete,1350,AUTOMATICA,39000000
Honda,Fit,2015,disponible,30000,"1,5",STC833,145,1070,automatica,60 millones
Hyundaii,Elantra,2021,taller,80000,1.5,HVF705,155,1350,manual,50000000
Nisan,Versa,2022,taller,28000,1.3,DMG637,355,2.060,automatica,25.000.000
Toyota,Corolla,2017,taller,60000,1.3,GSZ402,400,1250,Automatica,68000000
Volkswagen,Polo,2019,taller,30000,1.0,XMV461,152,1200,automatica,84000000
Volkswagen,Touareg,2022,disponible,78000,2.0,UMW213,365,1400,automatica,84000000
Toyota,Hilux,2017,vendidoo,12000,1.3,HNA225,180,1050,manual,31000000
Ford,EcoSport,2020,vendido,28000,1.0,FUG509,365,1050,manual,67000000
Hyundai,Creta,2015,disponible,15000,1.8,GXU235,145,1600,automatica,45000000
Volkswagen,Polo,2020,disponible,8000,1.3,ETE372,153,950,manual,50000000
Nissan,Sentra,2022,taller,95000,1.3,VSI609,123,2060,manual,40000000
Chevrolet,Tracker,2018,taller,72000,1.8,AIF751,ciento cincuenta y ocho,1200,automatica,53000000
Chevrolet,Spark,2017,disponible,78000,1.5,VI-840,213,1450,manual,$ 83.000.000
Nissan,Frontier,2015,vendido,28000,1.3,700299,290,2.000,manual,72000000
Nissan,X-Trail,2019,disponible,90000,1.0,IMT398,177,1570,manual,47000000
Hyundai,Palisade,2021,disponible,55000,1.3,AUL932,90,1400,automatica,89000000
toyata,Land Cruiser,2015,disponible,10000,1.0,XTK002,120,1700,manual,51000000 
Kia,Sorento,2015,vendido,10000,2.0,PIK573,123,1795,manual,26000000
Chevrolt,Cruze,2018,vendido,75000,1.5,ANS705,90,1500,automatica,72000000
Kia,Sorento,2021,vendido,65k,1.0,WIM143,84,1450,manul,76000000
Hyundai,Creta,2020,disponible,42000,1.6,SMG604,231,1700,manual,45000000
Nissan,Versa,2020,disponible,12000,1.5,HZN705,231,1250,automatica,76000000
Chevrolet,Silverado,2015,disponible,8000,1.8,CFE399,193,2200,automatica,38000000
Honda,Accord,2021,disponible,28000,1.5,EUQ012,114,1280,automatica,29000000 
Honda,Accord,2017,taller,5000,1.5,BKB511,290,1195,automatica,62000000
Nissan,Versa,dos mil diecinueve,Disponible,5000,1.3,EZS158,ciento veinticinco,1070,manual,84000000
Honda,HR-V,2016,taller,42000,2.0,OAC297,203,1900,manual,38000000
KIA,Sorento,2018,vendido,15000,1.0,FCC751,231,2060,manual,64000000
Hyundaii,Creta,2015,taller,48000,1.0,UXL284,128,1070,manual,50000000
Toyota,Camry,2019,disponible,40000,1.3,WYG659,212,1600,manual,
toyata,Yaris,2017,vendido,80000,1.5,GBQ049,ciento cuarenta,1070,manuall,35000000
Kia,Sportage,2019,taller,70000,2.0,QVP554,400,1280,automatica,38000000
Nissan,X-Trail,2018,TALLER,10000,1.6,NCX457,90,1050,automatica,28000000
Nissan,Frontier,2021,taller,58000,1.5,YFZ468,130,1450,manual,25000000
Honda,Pilot,2022,taller,85000,1.3,CLY876,120,1300,automatica,44000000
Volkswagen,Touareg,2021,taller,85000,2.0,CSZ922,110,1700,automatica,81000000
HONDA,CR-V,2017,vendido,8000,1.6,SPP932,152,1500,manual,82000000
Honda,Pilot,2021,vendido,28000,1.5,LKVLOU,170,1050,manual,31 millones
Chevrolet,Spark,2015,taller,100.000,1.3,RFW635,90,2100,automatica,86000000
Kia,Cerato,2020,taller,75000,1.0,PDB958,75,1570,manual,35000000
Kia,Cerato,2016,taller,78000,1.8,GNI654,191,1570,automatica,26000000
Ford,F-150,2021,vendido,20000,1.3,JPL285,122,1200,automatica,48000000
KIA,Sorento,2016,disponible,15000,1.5,614461,153,1800,automatica,86000000
Nissan,Kicks,2018,Disponible,30000,1.0,KXZ301,153,1795,automatica,34000000
Chevrolet,Equinox,2020,vendido,55000,1.5,BZV246,99,1070,automatica,52000000
Honda,Fit,2020,taller,50000,2.0,WFA003,140,1050,AUTOMATICA,46000000
Chevrolet,Spark,2017,taller,80000,1.3,SZT231,192,1195,manual,33000000
KIA,Rio,2021,vendido,15000,1.3,QSJ070,163,1.070,manual,
Ford,EcoSport,2018,vendido,10000,1.3,TNA966,365,1300,manual,83000000
Kia,Rio,2016,vendido,78000,1.8,HUI 036,141,1450,automatica,57000000
Ford,Escape,2015,taller,25000,1.5,CJI068,355,1900,automatica,37000000
Toyota,RAV4,2018,vendido,80k,2.0,HJH067,193,1500,manual,68000000
Fordd,Mustang,2022,taller,32000,1.6,BCL502,141,1450,manual,85000000
Hyundai,Palisade,2019,taller,65000,1.8,WBT343,193,2000,manual,38000000
Nissan,Versa,2016,disponible,70000,1.0,OZW959,ochenta y cuatro,1100,automatica,46000000
HONDA,Fit,2018,disponible,95000,1.5,KCD286,365,1700,manual,84000000
Hyundai,Elantra,dos mil veinte,taller,100000,1.6,NCU225,177,2200,manual,31000000
Nissan,Versa,2020,vendido,45000,1.5,HWB491,185,1195,automatica,68000000
Chevrolet,Equinox,2020,taller,12000,1.6,VSO453,203,1280,Automatica,
Honda,Odyssey,2022,vendido,70000,1.0,KP-393,193,1795,manual,74000000
Ford,Ranger,2021,vendido,35000,1.3,LIR316,120,1.300,manual,49000000
Hyundai,Tucson,2022,disponible,28000,1.0,BCG192,163,1900,automatica,85000000
Toyota,Hilux,2021,vendido,8000,1.6,TCD895,140,2060,manual,71000000
Toyota,Yaris,2021,disponible,58000,1.6,AMT669,ciento veintiocho,1280,manual,87000000
Kiaa,Sorento,2021.,talleer,28.000,1.6,XOE615,ciento sesenta y tres,1400,manual,76000000
Toyota,Camry,2021,taller,90000,"1,5",XJS512,130,1900,manual,45 millones
Ford,EcoSport,dos mil dieciocho,taller,85000,1.6,TEU363,213,1800,automatica,46000000
Ford,Mustang,2015,vendido,45000,1.6,SJP184,69,1900,automatica,27000000
Volkswagen,Touareg,2019,vendio,95000,1.8,XGL862,153,1700,automatica,83000000
Toyota,Hilux,201O,taller,28000,1.O,399530,155,1250,automatica,34000000
Nissan,Sentra,2020,vendidoo,65000,2.0,RCK050,355,1800,automatica,
Honda,Pilot,2015,vendido,50k,1.0,HFZ575,ciento ochenta y seis,2200,auto,62000000
HYUNDAI,Accent,2017,disponible,65000,1.0,DRO176,355,1200,manual,35000000
Hyundei,Palisade,2018,taller,78000,1.5,PTL381,120,1500,automatica,46.000.000
Chevrolet,Cruze,2018,talleer,78000,1.6,TUR457,170,950,automatica,68000000
Toyota,Fortuner,2015,disponible,58000,1.8,KHB323,280,2000,automatica,$ 51.000.000
Hyundai,Palisade,2016,taller,45000,1.6,RXP675,122,1070,manual,70000000
Toyota,Hilux,2015,disponible,28000,2.0,WGJ949,69,1400,automatica,62000000
Nissann,Kicks,2019,DISPONIBLE,48000,1.6,HAE241,231,1300,automatica,48000000
Kia,Sorento,2022,taller,85000,1.6,IHN879,140,1300,automatik,39000000
Kia,Rio,2022,vendido,15000,2.0,PGX501,145,1795,automatica,62000000
Ford,F-150,2018,disponible,85000 km,1.0,RIG032,170,1050,manual,41000000
Kia,Telluride,2017,vendido,52000,1.6,WJE081,99,1250,manual,87000000
Hyundai,Santa Fe,2021,vendido,40000,1.5,LSH506,231,2100,manual,68000000
Kia,Sorento,2019,disponible,100000,1.3,ZVZ401,140,1070,manual,46000000
Kia,Sportage,2021,vendido,25000,1.6,YTO197,155,1200,automatica,43000000
Honda,Pilot,2015,vendido,32000,2.0,NVG687,365,2200,automatica,86000000 
Hyundai,Elantra,2020,DISPONIBLE,60 000,2.0,PFY726,114,1200,automatica,82000000
Chevrolet,Equinox,2022,vendido,10000,1.5,CKZ593,290,1570,automatica,76000000
NISSAN,Frontier,2021,vendido,40000,1.3,EEW915,155,1450,automatica,81000000
Kia,Cerato,2015,vendido,75000,1.0,QPF090,140,1900,manual,40000000
Honda,Civic,2015,disponible,65000,1.3,FHV341,400,1600,automatica,46000000
Nissan,Versa,2022,vendido,58000,1.8,OZA382,365,1500,manual,35000000
Ford,F-150,2020,disponible,12000,1.6,XUQ570,400,1400,manual,33.000.000
Volkswagen,Touareg,2021,DISPONIBLE,45000,1.6,PZ-428,163,2100,auto,47000000
Toyota,RAV4,2017,vendido,90k,1.8,IOS286,141,1070,manual,55000000
Nissan,X-Trail,2020,vendido,15000,1.O,FTQ684,180,1070,manual,88000000
Toyota,Corolla,2019,taller,52000,1.8,AQY055,99,1900,Automatica,77000000
Kia,Sorento,2018,disponible,80000,1.3,GLW303,99,1700,manul,26000000
Chevrolet,Onix,2015,disponible,48000,1.5,PLY084,177,1450,manual,88000000
Toyota,Hilux,2018,taller,95000,2.0,803645,153,2200,automatica,28000000
Ford,Ranger,2018,disponible,85000,1.0,ACR500,193,1070,automatica,31000000
Chevrolet,Equinox,2017,disponible,85000,1.5,PAP158,213,2200,manual,72000000
Chevrolet,Tracker,2017,Vendido,78000,1.6,OXO435,365,1250,manual,55000000
Nissan,March,dos mil veintiuno,disponible,95000,1.0,DKC385,192,1500,manual,40000000
Chevrolet,Silverado,2021,Disponible,15000,1.6,ODH988,99,1070,manual,76000000
Kia,Sorento,dos mil diecinueve,disponible,95000,1.6,CGA272,153,1300,automatica,70000000
Ford,EcoSport,2021,taller,90000,1.5,RRQ777,128,1500,manual,72000000
Honda,CR-V,2020,disponible,22000,"2,0",EUU879,140,1300,automatica,59000000
Honda,HR-V,2017,taller,60000,1.5,HTL310,192,2200,automatica,80000000
Volkswagen,Golf,2019,vendido,85000,1.8,RHT526,180,2200,AUTOMATICA,$ 54.000.000
Honda,Fit,2019,taller,58000,1.6,KBT029,280,1350,automatica,36000000
Chevrolet,Silverado,2018,vendido,30000,2.0,NMJ449,110,2100,manual,31000000
Honda,Odyssey,2022,disponible,48000,1.0,YYM514,99,1350,automatica,57000000
Nissan,Kicks,2018,taller,58000,2.0,EMS426,193,1600,manual,32000000
Toyota,Fortuner,2017,disponible,72000,1.6,OPP640,213,1570,automatica,51000000
Toyota,Hilux,2015,disponible,90k,1.0,VTV002,212,1050,automatica,80000000
Kia,Sportage,2019,taller,80000,1.6,YEK042,145,1400,automatica,65000000
Volkswagen,Tiguan,2020,disponible,10000,1.3,HTT041,355,1280,manual,52000000
Toyota,Camry,2019,disponible,70000,1.3,VWKYKY,192,1450,manual,41000000
Ford,EcoSport,2020,taller,72000,1.3,UUG178,130,1700,manual,$ 48.000.000
Nissan,Sentra,2018,vendido,10000,1.3,TAF276,365,2.060,manual,60000000
Hyundaii,Palisade,2016,vendido,75000,1.8,ROX633,158,1350,automatica,43000000
Volkswagen,Golf,2021,taller,65000,1.8,FSD928,ochenta y cuatro,1280,automatica,84000000
Kia,Cerato,2020,disponible,8000,1.3,IKL964,84,1500,automatica,53000000
Honda,Pilot,2015,disponible,58000,1.3,IWJ135,177,1.280,automatica,62000000
Nissan,Kicks,2020,vendido,65000,1.3,BBM018,75,2100,manual,84000000
Ford,EcoSport,2018,vendido,100000,"2,0",GFZ437,290,1100,manual,26000000
Volkswagen,Tiguan,2018,taller,90000,1.8,JJY097,355,2100,automatik,50000000
Chevrolet,Silverado,201O,vendido,78000,1.8,VGM292,186,1800,manual,66000000
Volkswagon,Polo,2018,vendio,48000,1.3,VJP432,84,1500,manual,66000000
Kia,Sorento,2020,disponible,22000,"1,5",VRK850,212,1800,manual,51000000
Kia,Telluride,2016,taller,18000,1.6,CEV077,177,2.200,automatica,69000000
Chevrolet,Onix,2018,vendido,25k,1.8,KSK123,69,950,auto,68000000
Toyota,Camry,2016,taller,50000,1.8,OPE473,158,1400,manual,37 millones
Toyota,Land Cruiser,2019,Vendido,28000,1.8,WST989,163,950,manuall,37 millones
Chevrolet,Cruze,2016,vendido,95000,1.5,NJE453,107,1070,manual,78000000
Volkswagen,Touareg,2016,disponible,22000,1.0,OBQ586,114,2100,manual,53000000
Honda,Odyssey,2019,taller,58000,1.8,LRN681,75,1900,Automatica,38000000
Toyota,Fortuner,2016,vendido,48000,1.0,YXT278,84,1800,manual,
Toyota,Fortuner,2020,taller,10 000,1.6,VSL345,355,2060,automatica,30000000
Volkswagen,Passat,2017,vendido,35000,2.0,TNL768,158,1250,manual,37000000
Hyundai,Santa Fe,2015,disponible,70000,1.3,PLK131,213,1500,automatica,26000000
Toyota,Corolla,2021,vendido,70000,1.3,VTV218,193,1195,automatik,36000000
Nissan,X-Trail,2021,disponible,80000,1.60,CYB703,130,1400,manual,36000000
Honda,Civic,2016,disponible,48000,1.5,XFC896,99,1300,manual,87000000
Nissan,March,2017,disponible,22000,1.6,YDC498,212,1070,manual,26000000
Kia,Rio,2020,vendido,100000,1.6,LHY312,152,1795,manual,
Ford,Escape,2015,vendido,10 000,1.3,GJO554,69,1300,automatica,75000000
Ford,Fiesta,O022,vendido,38000,1.0,RVS331,163,2200,manual,75000000 
Hyundai,Elantra,2021,vendido,60000,2.0,LHF078,107,1100,manul,54000000
Nissan,Sentra,2019,DISPONIBLE,95000,1.5,TOJ540,212,1795,manual,85000000
Volkswagen,Jetta,2015,disponible,38000,1.0,EEW359,186,950,automatica,82000000
Volkswagen,Jetta,2015,vendido,8000,1.3,KKZ740,186,1500,manual,45000000
Kia,Sorento,2017,vendio,45000,"1,5",DGU510,152,1450,automatica,46000000
Nissan,Sentra,2O20,taller,48000,1.8,WOC538,185,1450,manual,44000000
Kia,Cerato,2016,disponible,75000,2.0,IJJ956,163,1900,automatica,46000000
Volkswagen,Passat,2022,Disponible,95000,1.6,MOJ508,152,1070,automatica,57000000
Ford,EcoSport,2018,taller,5000,2.0,VWC800,130,2000,manul,$ 67.000.000
Kia,Picanto,2021,vendido,85000,2.0,PIQ869,155,1700,manual,28.000.000
Chevrolet,Cruze,2017,vendido,52000,1.3,RBN359,145,1450,auto,38000000
Nissan,Frontier,2016,vendido,95000,1.3,IPF 339,203,1400,automatica,90000000
Chevrolet,Silverado,2018,vendido,48000,1.5,WBJ134,185,1450,automatica,58000000
Chevrolet,Tracker,2022,vendido,55000,2.0,AQG724,309,2.060,manual,59000000
Nissan,X-Trail,2015,vendido,5.000,1.5,LB-823,309,1100,manual,77000000
Nissan,March,2020,disponible,10000,2.0,WKN845,128,1250,automatica,75000000
Ford,Mustang,2018.,taller,90000,1.5,CPU772,99,1050,manual,27000000
Volkswagen,Tiguan,2022,disponible,35000,1.3,WAC284,400,1450,automatica,85000000
Volkswagen,Polo,2021,taller,90000,1.5,LMM695,110,1200,manual,55000000
Nissan,Frontier,2016,taller,38000,1.3,MYL367,69,1700,manual,30000000
Nissan,Kicks,2019,taller,35000,1.0,FNT448,150,2200,manual,62000000
Kia,Cerato,2018.,taller,18000,1.6,MNT522,145,1050,automatica,52000000
Honda,Pilot,2020,disponible,38000,2.0,QDJ 888,75,2000,manual,56000000
Hyundai,Elantra,2016,taller,55 000,1.0,HHLXJT,170,1795,manual,32000000
Ford,Explorer,2020,taller,55000,1.3,NCW548,125,1795,manual,80000000
HONDA,HR-V,2020,TALLER,10000,1.3,BNO786,152,1300,automatica,74000000
Nissan,Versa,dos mil veintiuno,taller,50000,1.0,GIL853,158,2000,manual,72000000
Volkswagen,Touareg,dos mil veintidos,vendido,48000,1.5,OEH715,120,1350,manual,86000000
Kia,Sportage,2019,DISPONIBLE,20000,1.6,LFO764,ciento veinte,1400,automatica,53000000
Ford,Mustang,20O7,taller,90000,1.6,JUY896,125,1300,manual,88000000
Hyundai,Creta,2017,disponible,78000,"2,0",YRF794,ciento ochenta,1570,manual,70000000
Hyundai,Palisade,2022,taller,55000,1.3,CSL233,84,2000,auto,33000000 
Chevrolet,Equinox,2016,disponible,20 000,1.5,VEE207,140,2200,manual,$ 80.000.000
Chevrolet,Equinox,2019,TALLER,80000,1.8,CTU428,114,950,manual,63000000
Nissan,Kicks,2018,taller,30000,1.6,PLG565,231,1700,automatica,63000000
Hyundai,Elantra,2016,vendido,58000,1.6,658OUG,290,950,automatica,59000000
Kia,Sorento,2022,disponible,32000,1.0,FFM529,99,1250,automatica,87000000
HYUNDAI,Palisade,2022,taller,72000,2.0,VXZ843,69,1050,automatica,68000000
Chevrolet,Onix,2022,disponible,65000,1.6,CZJ871,noventa,1350,manual,$ 36.000.000
Hyundai,Palisade,2015,vendido,75000,1.5,QGI835,365,1300,manual,48000000
Toyota,Hilux,2019,disponible,38000,1.3,OAB986,99,1700,manual,29000000
Hyundai,Santa Fe,2015,vendido,25000,1.6,AEQ498,128,1.400,Manual,30000000
Frod,Fiesta,2021,taller,85000 km,1.5,IYV192,120,1050,automatica,
Hyundai,Tucson,2015,vendido,28.000,1.5,LID410,140,1500,automatica,$ 32.000.000
Toyota,RAV4,2022,disponible,15000,1.3,CNW462,123,1280,automatica,49000000
Kia,Cerato,2022,disponible,80000,1.8,HDC502,177,2.100,auto,77000000
Nissan,X-Trail,2015,vendido,20000,1.0,VXD 724,125,1280,manual,65000000
Toyota,Hilux,2019,vendido,12000,1.0,VIS656,130,1.250,automatica,36000000
Chevrolet,Silverado,2018,disponible,15000,1.0,RSX576,231,1250,manual,34000000
Nissan,Versa,2017,Disponible,58000,1.8,FVM689,163,950,automatica,75000000
Kia,Telluride,2016,vendidoo,78 000,1.8,WAD987,185,950,AUTOMATICA,60000000
Volkswagen,Passat,2015,disponible,48000,2.0,PDK191,155,1570,automatica,64000000
FORD,EcoSport,2015,vendido,22000,1.3,JGY896,150,1795,manual,70000000
Ford,F-150,2016,vendido,95000,1.5,NYH428,355,2000,automatica,64000000
Toyota,Land Cruiser,2021,vendido,78000 km,2.0,557732,290,1900,manual,$ 51.000.000
Nissan,X-Trail,2022,vendido,90000,1.8,DEE561,163,1100,automatica,54000000
Nissan,Frontier,2022,vendido,12000,1.5,IMR775,191,1350,manual,34000000
Toyota,Hilux,2017,vendido,30000,1.0,QNT158,186,2060,automatik,78000000
Kia,Sorento,2019,disponible,48000,1.60,UBS014,290,1700,automatica,49000000
Handa,Fit,2017,taller,42k,1.5,LYF356,107,1070,automatica,88000000
Nissan,Versa,dos mil veinte,vendido,75000,1.3,AED277,355,2200,automatik,43000000
Nissan,Kicks,2015,taller,12000,1.6,BUY590,280,1450,manual,75000000
Kia,Picanto,2021,taller,10000,1.8,IGV593,110,1.250,manual,50000000
HYUNDAI,Santa Fe,2016,vendido,20000,2.0,JME037,152,1900,manual,46000000
Toyota,Hilux,2016,disponible,100000 km,1.5,653HQN,180,1400,manual,25000000
Honda,Pilot,2017,vendido,32000,1.8,DRL699,180,1350,automatik,40000000
Chevrolet,Spark,2020,Vendido,30000,1.3,HOY971,141,1500,manual,75000000
Kia,Sportage,2015,vendido,90000,1.6,AUQ766,290,1800,AUTOMATICA,79000000
Ford,Ranger,2019,taller,12000,1.0,GFA780,309,2200,automatica,43000000
Chevrolet,Equinox,2017,vendido,78000,2.0,YSG562,107,1800,manual,90000000
Toyota,RAV4,2017,taller,40000,1.5,XLQ063,140,1.070,AUTOMATICA,79000000
Toyota,Camry,2022,vendido,5000,2.0,OXX566,ciento setenta y siete,1250,automatica,83000000 
Nissan,Frontier,2020,vendido,30000,1.3,XPI181,84,1400,manual,69000000
Hyundai,Accent,2018,vendido,40000,1.6,TTA872,193,1280,Automatica,43000000
Ford,EcoSport,2016,disponible,18000,1.6,BUN677,158,1350,automatica,65000000
Chevrolet,Spark,2016,Vendido,38000,1.3,297691,90,1570,automatica,58 millones
Volkswagen,Polo,dos mil diecisiete,taller,45000,1.6,BQM471,99,1350,automatica,26000000 
Hondaa,Odyssey,2015,disponible,50000,1.6,AAH123,191,1900,automatica,42000000
Ford,F-150,2016,vendido,70000 km,1.0,PC-924,231,1600,automatica,79000000
Toyota,RAV4,2020.,disponible,45000,1.5,INY807,ciento noventa y uno,1280,automatica,39000000
Volkswagen,Jetta,2020,taller,35000,1.8,234410,163,1300,automatica,49000000
Nissan,Sentra,2015,taller,60000,1.5,RJI232,84,1600,automatica,83000000
