marca,modelo,año,estado,kilometraje,motor,placa,cv,peso_kg,transmisión,precio_cop
Kia,Sorento,2019,disponible,48000,1.6,YGR192,212,1280.0,automatica,56000000
Kia,Cerato,2022,vendido,,2.0,OZR415,191,1500.0,manual,72000000
Toyota,Land Cruiser,2019,disponible,100000,1.6,VFF818,400,1400.0,automatica,57000000
Toyota,Fortuner,2022,,5000,1.3,HIR194,90,1100.0,manual,72000000
Honda,Accord,2018,taller,72000,2.0,DWY401,185,1900.0,manual,90000000
Nissan,Sentra,2016,disponible,75000,1.5,LXI039,170,1900.0,manual,69000000
,Santa Fe,2022,taller,5000,1.3,ITP090,193,2200.0,automatica,49000000
,X-Trail,2018,taller,55000,1.3,GKG748,191,1600.0,automatica,32000000
Honda,Pilot,2022,disponible,10000,,FGU774,193,1300.0,automatica,39000000
Honda,HR-V,2021,disponible,58000,1.5,EBP883,290,2200.0,automatica,86000000
Kia,Cerato,2022,disponible,100000,1.8,UDK523,75,1250.0,manual,89000000
,Picanto,2018,taller,25000,1.6,UMQ888,186,2000.0,automatica,84000000
Volkswagen,Polo,2016,disponible,80000,1.0,ZDO417,180,1800.0,manual,
Toyota,Hilux,2021,disponible,45000,,FXK313,213,1500.0,automatica,42000000
Volkswagen,Jetta,2018,disponible,22000,1.8,QTN013,,1195.0,manual,66000000
Volkswagen,Tiguan,2021,disponible,32000,1.0,FPD189,84,1070.0,automatica,76000000
Volkswagen,Golf,2016,vendido,30000,1.5,OUE846,,1350.0,automatica,39000000
Honda,Fit,2015,disponible,30000,,STC833,145,1070.0,automatica,60000000
,Elantra,2021,taller,80000,1.5,HVF705,155,1350.0,manual,50000000
,Versa,2022,taller,28000,1.3,DMG637,355,2060.0,automatica,25000000
Toyota,Corolla,2017,taller,60000,1.3,GSZ402,400,1250.0,automatica,68000000
Volkswagen,Polo,2019,taller,30000,1.0,XMV461,152,1200.0,automatica,84000000
Volkswagen,Touareg,2022,disponible,78000,2.0,UMW213,365,1400.0,automatica,84000000
Toyota,Hilux,2017,vendido,12000,1.3,HNA225,180,1050.0,manual,31000000
Ford,EcoSport,2020,vendido,28000,1.0,FUG509,365,1050.0,manual,67000000
Hyundai,Creta,2015,disponible,15000,1.8,GXU235,145,1600.0,automatica,45000000
Volkswagen,Polo,2020,disponible,8000,1.3,ETE372,153,950.0,manual,50000000
Nissan,Sentra,2022,taller,95000,1.3,VSI609,123,2060.0,manual,40000000
Chevrolet,Tracker,2018,taller,72000,1.8,AIF751,,1200.0,automatica,53000000
Chevrolet,Spark,2017,disponible,78000,1.5,,213,1450.0,manual,
Nissan,Frontier,2015,vendido,28000,1.3,,290,2000.0,manual,72000000
Nissan,X-Trail,2019,disponible,90000,1.0,IMT398,177,1570.0,manual,47000000
Hyundai,Palisade,2021,disponible,55000,1.3,AUL932,90,1400.0,automatica,89000000
,Land Cruiser,2015,disponible,10000,1.0,XTK002,120,1700.0,manual,51000000
Kia,Sorento,2015,vendido,10000,2.0,PIK573,123,1795.0,manual,26000000
,Cruze,2018,vendido,75000,1.5,ANS705,90,1500.0,automatica,72000000
Kia,Sorento,2021,vendido,65000,1.0,WIM143,84,1450.0,manual,76000000
Hyundai,Creta,2020,disponible,42000,1.6,SMG604,231,1700.0,manual,45000000
Nissan,Versa,2020,disponible,12000,1.5,HZN705,231,1250.0,automatica,76000000
Chevrolet,Silverado,2015,disponible,8000,1.8,CFE399,193,2200.0,automatica,38000000
Honda,Accord,2021,disponible,28000,1.5,EUQ012,114,1280.0,automatica,29000000
Honda,Accord,2017,taller,5000,1.5,BKB511,290,1195.0,automatica,62000000
Nissan,Versa,2019,disponible,5000,1.3,EZS158,,1070.0,manual,84000000
Honda,HR-V,2016,taller,42000,2.0,OAC297,203,1900.0,manual,38000000
Kia,Sorento,2018,vendido,15000,1.0,FCC751,231,2060.0,manual,64000000
,Creta,2015,taller,48000,1.0,UXL284,128,1070.0,manual,50000000
Toyota,Camry,2019,disponible,40000,1.3,WYG659,212,1600.0,manual,
,Yaris,2017,vendido,80000,1.5,GBQ049,140,1070.0,,35000000
Kia,Sportage,2019,taller,70000,2.0,QVP554,400,1280.0,automatica,38000000
Nissan,X-Trail,2018,taller,10000,1.6,NCX457,90,1050.0,automatica,28000000
Nissan,Frontier,2021,taller,58000,1.5,YFZ468,130,1450.0,manual,25000000
Honda,Pilot,2022,taller,85000,1.3,CLY876,120,1300.0,automatica,44000000
Volkswagen,Touareg,2021,taller,85000,2.0,CSZ922,110,1700.0,automatica,81000000
Honda,CR-V,2017,vendido,8000,1.6,SPP932,152,1500.0,manual,82000000
Honda,Pilot,2021,vendido,28000,1.5,,170,1050.0,manual,31000000
Chevrolet,Spark,2015,taller,100,1.3,RFW635,90,2100.0,automatica,86000000
Kia,Cerato,2020,taller,75000,1.0,PDB958,75,1570.0,manual,35000000
Kia,Cerato,2016,taller,78000,1.8,GNI654,191,1570.0,automatica,26000000
Ford,F-150,2021,vendido,20000,1.3,JPL285,122,1200.0,automatica,48000000
Kia,Sorento,2016,disponible,15000,1.5,,153,1800.0,automatica,86000000
Nissan,Kicks,2018,disponible,30000,1.0,KXZ301,153,1795.0,automatica,34000000
Chevrolet,Equinox,2020,vendido,55000,1.5,BZV246,99,1070.0,automatica,52000000
Honda,Fit,2020,taller,50000,2.0,WFA003,140,1050.0,automatica,46000000
Chevrolet,Spark,2017,taller,80000,1.3,SZT231,192,1195.0,manual,33000000
Kia,Rio,2021,vendido,15000,1.3,QSJ070,163,1070.0,manual,
Ford,EcoSport,2018,vendido,10000,1.3,TNA966,365,1300.0,manual,83000000
Kia,Rio,2016,vendido,78000,1.8,HUI036,141,1450.0,automatica,57000000
Ford,Escape,2015,taller,25000,1.5,CJI068,355,1900.0,automatica,37000000
Toyota,RAV4,2018,vendido,80000,2.0,HJH067,193,1500.0,manual,68000000
,Mustang,2022,taller,32000,1.6,BCL502,141,1450.0,manual,85000000
Hyundai,Palisade,2019,taller,65000,1.8,WBT343,193,2000.0,manual,38000000
Nissan,Versa,2016,disponible,70000,1.0,OZW959,,1100.0,automatica,46000000
Honda,Fit,2018,disponible,95000,1.5,KCD286,365,1700.0,manual,84000000
Hyundai,Elantra,2020,taller,100000,1.6,NCU225,177,2200.0,manual,31000000
Nissan,Versa,2020,vendido,45000,1.5,HWB491,185,1195.0,automatica,68000000
Chevrolet,Equinox,2020,taller,12000,1.6,VSO453,203,1280.0,automatica,
Honda,Odyssey,2022,vendido,70000,1.0,,193,1795.0,manual,74000000
Ford,Ranger,2021,vendido,35000,1.3,LIR316,120,1300.0,manual,49000000
Hyundai,Tucson,2022,disponible,28000,1.0,BCG192,163,1900.0,automatica,85000000
Toyota,Hilux,2021,vendido,8000,1.6,TCD895,140,2060.0,manual,71000000
Toyota,Yaris,2021,disponible,58000,1.6,AMT669,,1280.0,manual,87000000
,Sorento,2021,,28,1.6,XOE615,,1400.0,manual,76000000
Toyota,Camry,2021,taller,90000,,XJS512,130,1900.0,manual,45000000
Ford,EcoSport,2018,taller,85000,1.6,TEU363,213,1800.0,automatica,46000000
Ford,Mustang,2015,vendido,45000,1.6,SJP184,69,1900.0,automatica,27000000
Volkswagen,Touareg,2019,,95000,1.8,XGL862,153,1700.0,automatica,83000000
Toyota,Hilux,2010,taller,28000,1.0,,155,1250.0,automatica,34000000
Nissan,Sentra,2020,vendido,65000,2.0,RCK050,355,1800.0,automatica,
Honda,Pilot,2015,vendido,50000,1.0,HFZ575,,2200.0,automatica,62000000
Hyundai,Accent,2017,disponible,65000,1.0,DRO176,355,1200.0,manual,35000000
,Palisade,2018,taller,78000,1.5,PTL381,120,1500.0,automatica,46000000
Chevrolet,Cruze,2018,,78000,1.6,TUR457,170,950.0,automatica,68000000
Toyota,Fortuner,2015,disponible,58000,1.8,KHB323,280,2000.0,automatica,
Hyundai,Palisade,2016,taller,45000,1.6,RXP675,122,1070.0,manual,70000000
Toyota,Hilux,2015,disponible,28000,2.0,WGJ949,69,1400.0,automatica,62000000
,Kicks,2019,disponible,48000,1.6,HAE241,231,1300.0,automatica,48000000
Kia,Sorento,2022,taller,85000,1.6,IHN879,140,1300.0,,39000000
Kia,Rio,2022,vendido,15000,2.0,PGX501,145,1795.0,automatica,62000000
Ford,F-150,2018,disponible,,1.0,RIG032,170,1050.0,manual,41000000
Kia,Telluride,2017,vendido,52000,1.6,WJE081,99,1250.0,manual,87000000
Hyundai,Santa Fe,2021,vendido,40000,1.5,LSH506,231,2100.0,manual,68000000
Kia,Sorento,2019,disponible,100000,1.3,ZVZ401,140,1070.0,manual,46000000
Kia,Sportage,2021,vendido,25000,1.6,YTO197,155,1200.0,automatica,43000000
Honda,Pilot,2015,vendido,32000,2.0,NVG687,365,2200.0,automatica,86000000
Hyundai,Elantra,2020,disponible,60000,2.0,PFY726,114,1200.0,automatica,82000000
Chevrolet,Equinox,2022,vendido,10000,1.5,CKZ593,290,1570.0,automatica,76000000
Nissan,Frontier,2021,vendido,40000,1.3,EEW915,155,1450.0,automatica,81000000
Kia,Cerato,2015,vendido,75000,1.0,QPF090,140,1900.0,manual,40000000
Honda,Civic,2015,disponible,65000,1.3,FHV341,400,1600.0,automatica,46000000
Nissan,Versa,2022,vendido,58000,1.8,OZA382,365,1500.0,manual,35000000
Ford,F-150,2020,disponible,12000,1.6,XUQ570,400,1400.0,manual,33000000
Volkswagen,Touareg,2021,disponible,45000,1.6,,163,2100.0,automatica,47000000
Toyota,RAV4,2017,vendido,90000,1.8,IOS286,141,1070.0,manual,55000000
Nissan,X-Trail,2020,vendido,15000,1.0,FTQ684,180,1070.0,manual,88000000
Toyota,Corolla,2019,taller,52000,1.8,AQY055,99,1900.0,automatica,77000000
Kia,Sorento,2018,disponible,80000,1.3,GLW303,99,1700.0,manual,26000000
Chevrolet,Onix,2015,disponible,48000,1.5,PLY084,177,1450.0,manual,88000000
Toyota,Hilux,2018,taller,95000,2.0,,153,2200.0,automatica,28000000
Ford,Ranger,2018,disponible,85000,1.0,ACR500,193,1070.0,automatica,31000000
Chevrolet,Equinox,2017,disponible,85000,1.5,PAP158,213,2200.0,manual,72000000
Chevrolet,Tracker,2017,vendido,78000,1.6,OXO435,365,1250.0,manual,55000000
Nissan,March,2021,disponible,95000,1.0,DKC385,192,1500.0,manual,40000000
Chevrolet,Silverado,2021,disponible,15000,1.6,ODH988,99,1070.0,manual,76000000
Kia,Sorento,2019,disponible,95000,1.6,CGA272,153,1300.0,automatica,70000000
Ford,EcoSport,2021,taller,90000,1.5,RRQ777,128,1500.0,manual,72000000
Honda,CR-V,2020,disponible,22000,,EUU879,140,1300.0,automatica,59000000
Honda,HR-V,2017,taller,60000,1.5,HTL310,192,2200.0,automatica,80000000
Volkswagen,Golf,2019,vendido,85000,1.8,RHT526,180,2200.0,automatica,
Honda,Fit,2019,taller,58000,1.6,KBT029,280,1350.0,automatica,36000000
Chevrolet,Silverado,2018,vendido,30000,2.0,NMJ449,110,2100.0,manual,31000000
Honda,Odyssey,2022,disponible,48000,1.0,YYM514,99,1350.0,automatica,57000000
Nissan,Kicks,2018,taller,58000,2.0,EMS426,193,1600.0,manual,32000000
Toyota,Fortuner,2017,disponible,72000,1.6,OPP640,213,1570.0,automatica,51000000
Toyota,Hilux,2015,disponible,90000,1.0,VTV002,212,1050.0,automatica,80000000
Kia,Sportage,2019,taller,80000,1.6,YEK042,145,1400.0,automatica,65000000
Volkswagen,Tiguan,2020,disponible,10000,1.3,HTT041,355,1280.0,manual,52000000
Toyota,Camry,2019,disponible,70000,1.3,,192,1450.0,manual,41000000
Ford,EcoSport,2020,taller,72000,1.3,UUG178,130,1700.0,manual,
Nissan,Sentra,2018,vendido,10000,1.3,TAF276,365,2060.0,manual,60000000
,Palisade,2016,vendido,75000,1.8,ROX633,158,1350.0,automatica,43000000
Volkswagen,Golf,2021,taller,65000,1.8,FSD928,,1280.0,automatica,84000000
Kia,Cerato,2020,disponible,8000,1.3,IKL964,84,1500.0,automatica,53000000
Honda,Pilot,2015,disponible,58000,1.3,IWJ135,177,1280.0,automatica,62000000
Nissan,Kicks,2020,vendido,65000,1.3,BBM018,75,2100.0,manual,84000000
Ford,EcoSport,2018,vendido,100000,,GFZ437,290,1100.0,manual,26000000
Volkswagen,Tiguan,2018,taller,90000,1.8,JJY097,355,2100.0,,50000000
Chevrolet,Silverado,2010,vendido,78000,1.8,VGM292,186,1800.0,manual,66000000
,Polo,2018,,48000,1.3,VJP432,84,1500.0,manual,66000000
Kia,Sorento,2020,disponible,22000,,VRK850,212,1800.0,manual,51000000
Kia,Telluride,2016,taller,18000,1.6,CEV077,177,2200.0,automatica,69000000
Chevrolet,Onix,2018,vendido,25000,1.8,KSK123,69,950.0,automatica,68000000
Toyota,Camry,2016,taller,50000,1.8,OPE473,158,1400.0,manual,37000000
Toyota,Land Cruiser,2019,vendido,28000,1.8,WST989,163,950.0,,37000000
Chevrolet,Cruze,2016,vendido,95000,1.5,NJE453,107,1070.0,manual,78000000
Volkswagen,Touareg,2016,disponible,22000,1.0,OBQ586,114,2100.0,manual,53000000
Honda,Odyssey,2019,taller,58000,1.8,LRN681,75,1900.0,automatica,38000000
Toyota,Fortuner,2016,vendido,48000,1.0,YXT278,84,1800.0,manual,
Toyota,Fortuner,2020,taller,10000,1.6,VSL345,355,2060.0,automatica,30000000
Volkswagen,Passat,2017,vendido,35000,2.0,TNL768,158,1250.0,manual,37000000
Hyundai,Santa Fe,2015,disponible,70000,1.3,PLK131,213,1500.0,automatica,26000000
Toyota,Corolla,2021,vendido,70000,1.3,VTV218,193,1195.0,,36000000
Nissan,X-Trail,2021,disponible,80000,1.6,CYB703,130,1400.0,manual,36000000
Honda,Civic,2016,disponible,48000,1.5,XFC896,99,1300.0,manual,87000000
Nissan,March,2017,disponible,22000,1.6,YDC498,212,1070.0,manual,26000000
Kia,Rio,2020,vendido,100000,1.6,LHY312,152,1795.0,manual,
Ford,Escape,2015,vendido,10000,1.3,GJO554,69,1300.0,automatica,75000000
Ford,Fiesta,22,vendido,38000,1.0,RVS331,163,2200.0,manual,75000000
Hyundai,Elantra,2021,vendido,60000,2.0,LHF078,107,1100.0,manual,54000000
Nissan,Sentra,2019,disponible,95000,1.5,TOJ540,212,1795.0,manual,85000000
Volkswagen,Jetta,2015,disponible,38000,1.0,EEW359,186,950.0,automatica,82000000
Volkswagen,Jetta,2015,vendido,8000,1.3,KKZ740,186,1500.0,manual,45000000
Kia,Sorento,2017,,45000,,DGU510,152,1450.0,automatica,46000000
Nissan,Sentra,2020,taller,48000,1.8,WOC538,185,1450.0,manual,44000000
Kia,Cerato,2016,disponible,75000,2.0,IJJ956,163,1900.0,automatica,46000000
Volkswagen,Passat,2022,disponible,95000,1.6,MOJ508,152,1070.0,automatica,57000000
Ford,EcoSport,2018,taller,5000,2.0,VWC800,130,2000.0,manual,
Kia,Picanto,2021,vendido,85000,2.0,PIQ869,155,1700.0,manual,28000000
Chevrolet,Cruze,2017,vendido,52000,1.3,RBN359,145,1450.0,automatica,38000000
Nissan,Frontier,2016,vendido,95000,1.3,IPF339,203,1400.0,automatica,90000000
Chevrolet,Silverado,2018,vendido,48000,1.5,WBJ134,185,1450.0,automatica,58000000
Chevrolet,Tracker,2022,vendido,55000,2.0,AQG724,309,2060.0,manual,59000000
Nissan,X-Trail,2015,vendido,5,1.5,,309,1100.0,manual,77000000
Nissan,March,2020,disponible,10000,2.0,WKN845,128,1250.0,automatica,75000000
Ford,Mustang,2018,taller,90000,1.5,CPU772,99,1050.0,manual,27000000
Volkswagen,Tiguan,2022,disponible,35000,1.3,WAC284,400,1450.0,automatica,85000000
Volkswagen,Polo,2021,taller,90000,1.5,LMM695,110,1200.0,manual,55000000
Nissan,Frontier,2016,taller,38000,1.3,MYL367,69,1700.0,manual,30000000
Nissan,Kicks,2019,taller,35000,1.0,FNT448,150,2200.0,manual,62000000
Kia,Cerato,2018,taller,18000,1.6,MNT522,145,1050.0,automatica,52000000
Honda,Pilot,2020,disponible,38000,2.0,QDJ888,75,2000.0,manual,56000000
Hyundai,Elantra,2016,taller,55000,1.0,,170,1795.0,manual,32000000
Ford,Explorer,2020,taller,55000,1.3,NCW548,125,1795.0,manual,80000000
Honda,HR-V,2020,taller,10000,1.3,BNO786,152,1300.0,automatica,74000000
Nissan,Versa,2021,taller,50000,1.0,GIL853,158,2000.0,manual,72000000
Volkswagen,Touareg,2022,vendido,48000,1.5,OEH715,120,1350.0,manual,86000000
Kia,Sportage,2019,disponible,20000,1.6,LFO764,120,1400.0,automatica,53000000
Ford,Mustang,2007,taller,90000,1.6,JUY896,125,1300.0,manual,88000000
Hyundai,Creta,2017,disponible,78000,,YRF794,,1570.0,manual,70000000
Hyundai,Palisade,2022,taller,55000,1.3,CSL233,84,2000.0,automatica,33000000
Chevrolet,Equinox,2016,disponible,20000,1.5,VEE207,140,2200.0,manual,
Chevrolet,Equinox,2019,taller,80000,1.8,CTU428,114,950.0,manual,63000000
Nissan,Kicks,2018,taller,30000,1.6,PLG565,231,1700.0,automatica,63000000
Hyundai,Elantra,2016,vendido,58000,1.6,OUG658,290,950.0,automatica,59000000
Kia,Sorento,2022,disponible,32000,1.0,FFM529,99,1250.0,automatica,87000000
Hyundai,Palisade,2022,taller,72000,2.0,VXZ843,69,1050.0,automatica,68000000
Chevrolet,Onix,2022,disponible,65000,1.6,CZJ871,,1350.0,manual,
Hyundai,Palisade,2015,vendido,75000,1.5,QGI835,365,1300.0,manual,48000000
Toyota,Hilux,2019,disponible,38000,1.3,OAB986,99,1700.0,manual,29000000
Hyundai,Santa Fe,2015,vendido,25000,1.6,AEQ498,128,1400.0,manual,30000000
,Fiesta,2021,taller,,1.5,IYV192,120,1050.0,automatica,
Hyundai,Tucson,2015,vendido,28,1.5,LID410,140,1500.0,automatica,
Toyota,RAV4,2022,disponible,15000,1.3,CNW462,123,1280.0,automatica,49000000
Kia,Cerato,2022,disponible,80000,1.8,HDC502,177,2100.0,automatica,77000000
Nissan,X-Trail,2015,vendido,20000,1.0,VXD724,125,1280.0,manual,65000000
Toyota,Hilux,2019,vendido,12000,1.0,VIS656,130,1250.0,automatica,36000000
Chevrolet,Silverado,2018,disponible,15000,1.0,RSX576,231,1250.0,manual,34000000
Nissan,Versa,2017,disponible,58000,1.8,FVM689,163,950.0,automatica,75000000
Kia,Telluride,2016,vendido,78000,1.8,WAD987,185,950.0,automatica,60000000
Volkswagen,Passat,2015,disponible,48000,2.0,PDK191,155,1570.0,automatica,64000000
Ford,EcoSport,2015,vendido,22000,1.3,JGY896,150,1795.0,manual,70000000
Ford,F-150,2016,vendido,95000,1.5,NYH428,355,2000.0,automatica,64000000
Toyota,Land Cruiser,2021,vendido,,2.0,,290,1900.0,manual,
Nissan,X-Trail,2022,vendido,90000,1.8,DEE561,163,1100.0,automatica,54000000
Nissan,Frontier,2022,vendido,12000,1.5,IMR775,191,1350.0,manual,34000000
Toyota,Hilux,2017,vendido,30000,1.0,QNT158,186,2060.0,,78000000
Kia,Sorento,2019,disponible,48000,1.6,UBS014,290,1700.0,automatica,49000000
,Fit,2017,taller,42000,1.5,LYF356,107,1070.0,automatica,88000000
Nissan,Versa,2020,vendido,75000,1.3,AED277,355,2200.0,,43000000
Nissan,Kicks,2015,taller,12000,1.6,BUY590,280,1450.0,manual,75000000
Kia,Picanto,2021,taller,10000,1.8,IGV593,110,1250.0,manual,50000000
Hyundai,Santa Fe,2016,vendido,20000,2.0,JME037,152,1900.0,manual,46000000
Toyota,Hilux,2016,disponible,,1.5,HQN653,180,1400.0,manual,25000000
Honda,Pilot,2017,vendido,32000,1.8,DRL699,180,1350.0,,40000000
Chevrolet,Spark,2020,vendido,30000,1.3,HOY971,141,1500.0,manual,75000000
Kia,Sportage,2015,vendido,90000,1.6,AUQ766,290,1800.0,automatica,79000000
Ford,Ranger,2019,taller,12000,1.0,GFA780,309,2200.0,automatica,43000000
Chevrolet,Equinox,2017,vendido,78000,2.0,YSG562,107,1800.0,manual,90000000
Toyota,RAV4,2017,taller,40000,1.5,XLQ063,140,1070.0,automatica,79000000
Toyota,Camry,2022,vendido,5000,2.0,OXX566,,1250.0,automatica,83000000
Nissan,Frontier,2020,vendido,30000,1.3,XPI181,84,1400.0,manual,69000000
Hyundai,Accent,2018,vendido,40000,1.6,TTA872,193,1280.0,automatica,43000000
Ford,EcoSport,2016,disponible,18000,1.6,BUN677,158,1350.0,automatica,65000000
Chevrolet,Spark,2016,vendido,38000,1.3,,90,1570.0,automatica,58000000
Volkswagen,Polo,2017,taller,45000,1.6,BQM471,99,1350.0,automatica,26000000
,Odyssey,2015,disponible,50000,1.6,AAH123,191,1900.0,automatica,42000000
Ford,F-150,2016,vendido,,1.0,,231,1600.0,automatica,79000000
Toyota,RAV4,2020,disponible,45000,1.5,INY807,,1280.0,automatica,39000000
Volkswagen,Jetta,2020,taller,35000,1.8,,163,1300.0,automatica,49000000
Nissan,Sentra,2015,taller,60000,1.5,RJI232,84,1600.0,automatica,83000000
Honda,Odyssey,2015,taller,10000,1.6,,193,1070.0,manual,47000000
Kia,Rio,2019,vendido,95,1.0,SOK089,203,1600.0,automatica,26000000
Kia,Sorento,2022,taller,45000,1.8,VRT607,130,1795.0,manual,84000000
Honda,Civic,2018,disponible,,1.0,LZG289,170,1450.0,manual,90000000
Hyundai,Creta,2022,vendido,8000,2.0,PBA424,99,1400.0,automatica,38000000
Ford,F-150,2021,vendido,42000,2.0,TVO634,110,1570.0,manual,65000000
Chevrolet,Cruze,2020,taller,28000,1.6,NSQ018,290,2100.0,automatica,29000000
Hyundai,Palisade,2017,taller,8000,1.5,AUI875,290,2100.0,automatica,52000000
Nissan,X-Trail,2021,vendido,42000,1.0,HHB435,203,1195.0,automatica,63000000
Hyundai,Palisade,2019,,70000,1.0,PDA801,163,1300.0,manual,50000000
Ford,Explorer,2016,taller,90000,1.5,FRU236,130,2100.0,automatica,56000000
Honda,Odyssey,2022,taller,45000,1.8,KGY368,355,1450.0,automatica,89000000
Honda,Accord,2018,disponible,28,2.0,HAF936,114,1700.0,automatica,
Kia,Rio,2016,disponible,8000,1.5,ADW171,192,2060.0,automatica,68000000
Ford,EcoSport,18,vendido,45000,1.3,XFQ817,186,1795.0,manual,78000000
,Frontier,2021,taller,70000,1.5,FMJ329,158,1200.0,manual,49000000
Chevrolet,Spark,2017,taller,90000,1.3,XHC338,,2100.0,automatica,
Honda,Odyssey,2017,disponible,48000,1.5,EPQ340,140,1250.0,manual,66000000
Chevrolet,Spark,2015,vendido,5000,1.8,HBI172,130,950.0,manual,81000000
Honda,HR-V,2020,disponible,50000,1.8,VLX366,114,1600.0,manual,89000000
Hyundai,Accent,2019,vendido,28000,1.0,MKR962,280,1350.0,manual,79000000
Kia,Sorento,2020,,55000,1.6,HBT069,191,2060.0,manual,79000000
Chevrolet,Spark,2021,taller,48000,1.5,VJU146,186,1800.0,manual,59000000
Chevrolet,Silverado,2017,vendido,38000,1.5,UDJ899,120,1280.0,manual,28000000
Kia,Sportage,2015,disponible,5000,1.5,XVF609,75,1250.0,automatica,34000000
Volkswagen,Touareg,2022,disponible,95000,1.0,LAH387,140,1600.0,manual,31000000
Volkswagen,Passat,2017,disponible,60000,1.6,SUV723,203,1570.0,automatica,40000000
Volkswagen,Golf,2021,,45000,2.0,OCE228,212,1200.0,manual,65000000
Hyundai,Creta,2022,vendido,15000,1.5,VRC963,69,1350.0,automatica,78000000
Volkswagen,Passat,2020,vendido,78,1.6,KGZ030,155,2060.0,manual,80000000
Volkswagen,Golf,2022,vendido,52000,2.0,,180,2000.0,automatica,84000000
Chevrolet,Equinox,2018,disponible,8000,1.0,CCW203,203,1800.0,automatica,68000000
Nissan,Versa,2022,taller,38000,1.5,BLO564,106,2100.0,manual,67000000
Hyundai,Palisade,2021,taller,45000,1.0,MND930,110,2000.0,manual,80000000
Nissan,Sentra,2021,taller,65000,1.0,ISR105,90,1070.0,manual,41000000
,Palisade,2016,taller,10000,2.0,HJU139,145,1570.0,manual,44000000
Ford,Mustang,2007,vendido,42000,2.0,,309,1795.0,automatica,33000000
Volkswagen,Polo,2017,vendido,48000,1.0,HUC904,231,1200.0,manual,67000000
,CR-V,2017,vendido,60000,1.6,YII929,123,1500.0,automatica,79000000
Hyundai,Accent,2016,disponible,45000,1.3,QOL485,355,2060.0,automatica,89000000
Chevrolet,Cruze,2016,disponible,,1.3,ZJG634,106,1350.0,,35000000
Chevrolet,Cruze,2019,disponible,72000,1.5,HFE784,106,1300.0,manual,45000000
Hyundai,Elantra,2022,disponible,12000,2.0,NWL561,309,1250.0,manual,72000000
Volkswagen,Jetta,2019,vendido,65000,1.8,KMO340,150,1300.0,automatica,52000000
Honda,HR-V,2019,taller,75000,2.0,FDI297,203,1450.0,automatica,88000000
Volkswagen,Touareg,2020,disponible,32000,1.8,VTN605,123,1195.0,automatica,36000000
,March,2019,disponible,78000,1.5,FEW007,120,1200.0,manual,40000000
Kia,Rio,2019,disponible,85000,1.6,RRV105,213,1250.0,automatica,88000000
Toyota,Land Cruiser,2019,disponible,75000,1.8,ERJ753,123,1400.0,automatica,46000000
Volkswagen,Golf,2019,taller,75000,1.8,VPE972,123,1250.0,manual,57000000
Toyota,Camry,2021,disponible,100000,1.8,KTN549,122,1300.0,automatica,57000000
Kia,Picanto,2018,taller,52000,1.5,BOO621,140,1800.0,manual,40000000
Chevrolet,Silverado,2015,disponible,30000,1.3,YAK071,69,2060.0,manual,55000000
Toyota,Fortuner,2017,disponible,30000,1.6,BGO940,110,1200.0,manual,27000000
Honda,CR-V,2021,vendido,38000,1.3,YWN228,,1100.0,automatica,
Ford,Escape,2017,disponible,45000,1.6,BGZ708,125,1350.0,automatica,47000000
Hyundai,Elantra,2022,vendido,30000,1.5,LXU451,280,1450.0,automatica,46000000
Ford,Explorer,2016,vendido,35000,1.8,KGE471,84,2000.0,automatica,35000000
Nissan,March,2015,taller,58000,1.0,LUA235,180,1700.0,automatica,32000000
Kia,Cerato,2019,disponible,58000,1.8,GIX094,191,2060.0,automatica,56000000
Kia,Rio,2021,taller,8000,1.0,XPJ103,99,2100.0,automatica,59000000
Kia,Rio,2016,taller,45000,1.0,LRA650,140,1800.0,manual,32000000
Hyundai,Elantra,2019,taller,72,2.0,AMO743,99,1700.0,automatica,30000000
Chevrolet,Silverado,2017,disponible,60000,2.0,PRN557,163,2200.0,automatica,47000000
Toyota,Hilux,2018,taller,100000,1.6,RFP572,150,1300.0,manual,83000000
Volkswagen,Passat,2017,disponible,90000,,IZF230,170,2060.0,manual,32000000
Hyundai,Elantra,2021,disponible,72000,1.3,UNK814,150,1300.0,automatica,71000000
Nissan,X-Trail,2019,vendido,58000,1.6,QEV652,365,1350.0,automatica,55000000
Kia,Cerato,2017,,100000,1.6,ELF296,193,1450.0,manual,71000000
Ford,F-150,2018,disponible,58000,1.6,VOG790,203,1070.0,manual,57000000
Honda,HR-V,2021,disponible,78000,1.6,TPC085,180,1280.0,,64000000
Nissan,Kicks,2016,vendido,5000,1.0,CEA714,69,1300.0,manual,48000000
Ford,Fiesta,2021,disponible,45000,2.0,SOD043,170,2000.0,automatica,89000000
Volkswagen,Golf,2018,taller,78000,1.0,SJJ593,309,2200.0,automatica,83000000
,Passat,2022,taller,38000,1.6,LAI605,309,1300.0,manual,65000000
,Sorento,2021,vendido,5000,1.8,KJR939,153,1070.0,manual,36000000
Hyundai,Santa Fe,2019,disponible,100000,1.5,ZPG421,145,2060.0,manual,85000000
Volkswagen,Golf,2022,vendido,60000,2.0,XEB138,231,1350.0,automatica,83000000
Nissan,X-Trail,2021,vendido,30,1.3,UKG895,90,1195.0,manual,53000000
,Creta,2020,disponible,58000,1.0,SFY832,122,2000.0,automatica,78000000
Honda,Accord,2022,taller,95000,1.3,LNQ998,,2100.0,manual,89000000
